no,code,rarity,name
1,LR01,LR,ガヴ オーバーモード
2,R02,R,ガヴ オーバーモード
3,LR03,LR,ガヴ マスターモード
4,R_PA03P,R_PA,ガヴ マスターモード
5,R04,R,ガヴ マスターモード
6,N05,N,ガヴ ブリザードソルベフォーム
7,N06,N,ガヴ ポッピングミフォーム
8,R07,R,ヴァレン フラッペカスタム
9,N08,N,ヴァレン チョコドンフォーム
10,LR09,LR,ヴラム アラモードモード
11,R_PA09P,R_PA,ヴラム アラモードモード
12,R10,R,ヴラム アラモードモード
13,N11,N,ヴラム プリンカスタム
14,N12,N,ビターガヴ ブレイクッキーフォーム
15,SR13,SR,ビターガヴ マーブルブレイクッキーフォーム
16,R14,R,ビターガヴ
17,R15,R,ビターガヴガブレイド
18,N16,N,ゼロワン ライジングホッパー
19,R17,R,滅 スティングスコーピオン
20,R18,R,サウザー
21,LR19,LR,アークゼロ
22,N20,N,アークゼロ
23,R21,R,ガッチャード アッパレスケボー
24,N22,N,マジェード サンユニコーン
25,SR23,SR,ヴァルバラド
26,N24,N,クウガ ライジングマイティ
27,LR25,LR,クウガ アメイジングマイティ
28,SR26,SR,アギト グランドフォーム
29,R27,R,G3-X
30,N28,N,エクシードギルス
31,SR29,SR,G4
32,N30,N,G4
33,R31,R,龍騎
34,N32,N,王蛇
35,LR33,LR,リュウガ
36,N34,N,ファイズ ブラスターフォーム
37,N35,N,カイザ
38,R36,R,サイガ
39,LR37,LR,オーガ
40,R_PA37P,R_PA,オーガ
41,N38,N,オーガ
42,SR39,SR,ライオトルーパー
43,SR40,SR,ジョーカー
44,R_PA40P,R_PA,ジョーカー
45,R41,R,ジョーカー
46,N42,N,エターナル
47,SR43,SR,ゴースト グレイトフル魂
48,R_PA43P,R_PA,ゴースト グレイトフル魂
49,N44,N,ゴースト グレイトフル魂
50,R45,R,スペクター
51,SR46,SR,ネクロム
52,R47,R,エグゼイド アクションゲーマー レベル2
53,N48,N,レーザー バイクゲーマー レベル1
54,SR49,SR,ゲンム ゾンビゲーマー レベルX
55,SR50,SR,ショッカー戦闘員
56,R51,R,アマゾン
57,N52,N,スカイライダー
58,R53,R,スーパー1
59,LR54,LR,BLACK
60,SR55,SR,シャドームーン
61,SR56,SR,BLACK RX
62,N57,N,バイオライダー
63,N58,N,シン
64,N59,N,ZO
65,R60,R,J
66,CP61,CP,ビターガヴ スパーキングミフォーム
67,CP62,CP,タイクーンブジンソード
68,CP63,CP,ファイズ アクセルフォーム
69,CP64,CP,ダークカブト ライダーフォーム
70,CP65,CP,スカル
71,CP66,CP,クウガ アメイジングマイティ
72,CP67,CP,リュウガ
73,P_PA67P,P_PA,リュウガ
74,CP68,CP,カリス
75,CP69,CP,ジョーカー
76,CP70,CP,BLACK
