no,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12
1,42,48,11,16,33,58,36,27,37,57,23,09
2,12,39,21,08,61,12,12,08,24,29,10,24
3,14,05,52,42,55,04,04,16,22,04,47,36
4,67,69/70,69,24,12,10,70,06,67,24,32,35
5,55,23,09,52,16,22,50,47,58,23,04,03
6,30,21,43,69,46,39,43,70,06,25,68,25
7,37,52,36,36,57,50,22,23,11,14,14,50
8,17,06,06,29,32,62,39,30,15,06,30,21
9,50,50,55,57,27,45,37,45,33,55,09,14
10,06,28,30,30,44,06,41,21,38,51/53/56,12,08
11,36,47,16,03/04/05/09/11/14/16/22/23/27/33,48,03,09,50,23,58,16,45
12,29,35,54,07,02,08,32,40,12,30,53,69
13,05,42,50,37,09,16,23,04,05,36,22,37
14,66,30,15,35,43,34,02,51,35,68,44,30
15,48,03/04/05/09/11/14/16/22/23/27/33,14,55,23,27,11,09,50,47,03,23
16,39,01,12,46,69,15,62,56,69,21,51,51
17,09,45,42,45,22,11,27,33,47,22,33,16
18,15,12,68,65,06,51,15,69,08,43,29,17
19,04,36,23,58,45,36/37/42/45/47/48/50/52/55/57/58,14,52,16,45,48,47
20,38,08,02,39,35,26,21,02,13,63,13,02
21,11,37,47,27,36,09,42,42,04,42,36,58
22,56,40,46,21,41,35,07,15,43,15,02,10/12/15
23,45,55,27,05,50,33,16,55,36,03,27,33
24,02,43,44,17,10,30,53,38,29,35,43,56
25,16,33,58,33,03,05,47,36,27,23,37,52
26,70,39,56,10,53,38,69,10,39,18,39,66
27,27,58,33,52,11,14,48,57,03,27,05,05
28,46,62,51,06,63,24,43,29,70,02,65,24
29,22,57,05,22,33,37,05,03/04/05/09/11/14/16/22/23/27/33,48,16,11,55
30,51,15,61,63,08,29,46,31,51,39,08,35
31,23,50,22,48,04,55,45,48,45,36/37/42/45/47/48/50/52/55/57/58,45,11
32,08,46,53,51,12,67/68/69,30,39,53,26,34,60
33,57,03,37,03,48,57,36,50,52,09,52,04
34,19,56,43,29,19,43,65,46,19,32,21,53
35,55,16,55,09,37,36,50,37,14,33,47,23
36,12,26/31/49/59,66,25,43,53,02,25,10,46,56,43
37,42,22,57,14,55,04,57,58,42,05,55,57
38,35,53,24,43,21/24/29,46,21/24/29,53,30,66,67,67
39,09,52,52,37,52,22,58,23,55,11,57,27
40,06,12,35,35,02,01/07/13/20,56,43,68,06,06,39
41,36,09,04,47,16,23,14,03,22,48,22,36
42,68,67,40,68,32,56,60,68,32,10,32,21
43,52,36,42,04,22,42,55,16,57,52,09,50
44,21,32,08,21,51,12,12,32,34,44,29,06
45,58,27,11,42,23,52,42,14,09,37,04,14
46,39/43/46,21,46,39,67,66,06,56,12,51,34P,70
47,04,58,45,57,47,03,33,52,27,04,14,16
48,56,30,34P/41P,10/12/15,29,30/32/35,66,28,64,08,53,12
49,47,42,50,58,58,58,09,05,16,47,42,22
50,18,61,56,18,18,08,08,15,02,62,30,10
51,16,05,36,27,09,47,48,22,11,50,58,33
52,08,24,15,46,15,40,35,62/63/64,21,39,39,46
53,48,55,09,23,57,27,04,33,50,14,36,36/37/42/45/47/48/50/52/55/57/58
54,15,51/53/56,41,61,41P/54P,21,44,51,46,15,61,20
55,05,23,58,48,50,11,47,11,37,57,50,04
56,69,65,12,02,39,39,51,06,17,54,10,29
57,45,37,03,45,03,05,36,47,03,09,03,23
58,24,29,39,56,06,70,15,67,56,32,38,30
59,33,16,16,11,11,14,57,37,14,27,23,09
60,29,02,70,19,25,15,41P,24,08,53,46,64
61,57,14,48,47,48,36,45,57,36,55,11,05
62,01P/13P/49P,41,02/06/08,06,30,02,39,30/32/35,63,61,70,43
63,27,45,27,33,16,48,03,55,45,03,48,27
64,30,06,29,53,08,28,10,02,06,21,15,18
65,23,11,47,50,04,55,55,58,23,36,05,58
66,10,10,64,66/67,62,53,63,19,29,43,24,39
67,22,33,37,57,42,50,52,09,47,22,57,48
68,63,64,32,08,21,51,56,12,54P,67,40,61/62
69,03,04,23,37,14,16,16,04,05,42,52,22
70,32,35,30,32,10,61,06,29,53,12,35,53
71,14,57,04,03,45,42,37,27,42,48,04,03
72,53,46,60,49,65,24,17,66,61,08,12,19
73,50,36,50,55,36,03,22,22,33,33,14,42
74,25,44,10,12,56,21,30,43,32,41,62,32
75,11,47,36,16,05,37,05,42,04,52,55,45
76,02,15,21,30,35,64,53,10,51,24,21,02
77,37,52,45,52,47,23,23,36,16,50,09,16
