code,name,rarity
01,ガヴ オーバーモード,LR
02,ガヴ オーバーモード,R
03,ガヴ マスターモード,LR
03P,ガヴ マスターモード,LR★
04,ガヴ マスターモード,R
05,ガヴ ブリザードソルベフォーム,N
06,ガヴ ポッピングミフォーム,N
07,ヴァレン フラッペカスタム,R
08,ヴァレン チョコドンフォーム,N
09,ヴラム アラモードモード,LR
09P,ヴラム アラモードモード,LR★
10,ヴラム アラモードモード,R
11,ヴラム プリンカスタム,N
12,ビターガヴ ブレイクッキーフォーム,N
13,ビターガヴ マーブルブレイクッキーフォーム,SR
14,ビターガヴ,R
15,ビターガヴガブレイド,R
16,ゼロワン ライジングホッパー,N
17,滅 スティングスコーピオン,R
18,サウザー,R
19,アークゼロ,LR
20,アークゼロ,N
21,ガッチャード アッパレスケボー,R
22,マジェード サンユニコーン,N
23,ヴァルバラド,SR
24,クウガ ライジングマイティ,N
25,クウガ アメイジングマイティ,LR
26,アギト グランドフォーム,SR
27,G3-X,R
28,エクシードギルス,N
29,G4,SR
30,G4,N
31,龍騎,R
32,王蛇,N
33,リュウガ,LR
34,ファイズ ブラスターフォーム,N
35,カイザ,N
36,サイガ,R
37,オーガ,LR
37P,オーガ,LR★
38,オーガ,N
39,ライオトルーパー,SR
40,ジョーカー,SR
40P,ジョーカー,SR★
41,ジョーカー,R
42,エターナル,N
43,ゴースト グレイトフル魂,SR
43P,ゴースト グレイトフル魂,SR★
44,ゴースト グレイトフル魂,N
45,スペクター,R
46,ネクロム,SR
47,エグゼイド アクションゲーマー レベル2,R
48,レーザー バイクゲーマー レベル1,N
49,ゲンム ゾンビゲーマー レベルX,SR
50,ショッカー戦闘員,SR
51,アマゾン,R
52,スカイライダー,N
53,スーパー1,R
54,BLACK,LR
55,シャドームーン,SR
56,BLACK RX,SR
57,バイオライダー,N
58,シン,N
59,ZO,N
60,J,R
61,ビターガヴ スパーキングミフォーム,CP
62,タイクーンブジンソード,CP
63,ファイズ アクセルフォーム,CP
64,ダークカブト ライダーフォーム,CP
65,スカル,CP
66,クウガ アメイジングマイティ,CP
67,リュウガ,CP
67P,リュウガ,CP★
68,カリス,CP
69,ジョーカー,CP
70,BLACK,CP
