no,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12
1,23,10,32,53,29,25,28,54,12,16,33,39
2,11,26,31,31,43,9,61,43,24,9,17,43
3,38,29,19,6,6,16,51,6,49,33,13,7
4,36,41,67,26,70,5,17,11,69,26,67,70
5,6,4,54,23,44,38,16,19,10,49,51,23
6,68,15,5,15,46,70,48,41,46,69,34,24
7,13,44,12,13,19,23,53,44,29,29,32,49
8,31,24,21,5,17,34,36,52,5,31,14,5
9,10,13,28,51,32,37,25,37,51,53,44,44
10,17,9,27,56,42,24,60,17,34,5,5,18
11,16,37,23,54,10,44,39,4,16,7,29,38
12,56,69,17,34,36,35,2,9,57,20,31,41
13,19,32,7,29,23,6,10,16,44,32,7,33
14,50,34,41,68,2,52,46,22,21,41,66,34
15,4,23,44,38,12,10,23,25,13,51,39,16
16,52,52,69,24,62,58,69,21,17,48,43,1
17,28,16,38,19,25,28,19,12,33,37,10,37
18,34,8,9,46,11,69,5,52,68,65,21,17
19,39,38,16,37,13,49,37,51,23,54,6,29
20,30,2,30,63,24,2,41,45,2,43,27,9
21,29,54,6,33,33,33,29,10,38,25,12,32
22,2,21,46,21,20,21,42,43,48,24,58,35
23,25,28,29,4,16,51,44,28,25,7,37,51
24,46,58,26,41,56,27,11,34,50,3,2,46
25,32,49,25,23,38,29,4,7,54,28,16,28
26,43,66,43,8,69,11,56,27,58,11,70,43
27,7,7,4,25,39,53,12,13,28,49,25,54
28,65,26,70,2,41,31,63,26,52,34,48,62
29,12,51,39,16,7,23,28,32,7,19,19,53
30,9,41,52,43,48,47,9,31,61,63,52,21
31,37,12,37,32,37,39,6,51,19,39,23,44
32,22,60,56,45,34,43,17,67,56,52,9,48
33,49,6,49,10,29,44,39,53,32,4,53,4
34,24,56,14,36,65,46,14,46,46,31,3,58
35,38,23,13,28,44,32,32,29,51,10,51,16
36,58,46,11,48,2,15,46,56,66,15,17,55
37,51,53,33,7,53,54,51,6,53,13,33,19
38,67,67,34,66,24,56,24,48,26,46,41,56
39,53,25,51,12,54,23,49,19,49,32,10,49
40,5,43,68,5,58,48,2,40,41,41,5,17
41,19,29,19,39,13,4,16,23,6,38,29,10
42,36,24,36,11,60,68,36,58,42,68,68,67
43,10,44,53,49,51,16,19,33,33,6,49,29
44,31,5,22,50,46,36,52,17,9,24,24,36
45,6,13,10,32,33,13,23,49,12,33,54,25
46,8,70,24,52,5,58,67,66,48,43,46,24
47,13,16,25,6,28,49,38,4,37,53,6,54
48,56,17,64,9,66,18,31,36,14P,21,58,34
49,33,19,16,38,10,7,4,54,44,54,38,33
50,34,11,2,62,9,21,8,9,58,8,15,61
51,54,28,12,44,39,19,10,38,29,25,16,7
52,43,48,17,43,17,63,21,35,21,48,9,26
53,29,44,44,13,6,28,53,25,10,23,39,51
54,61,40,48,21,50,52,15P,24,35,61,21,58
55,44,6,32,53,38,12,44,12,54,39,7,23
56,11,31,18,57,52,5,43,5,17,2,69,65
57,4,23,4,10,29,38,54,7,4,37,37,32
58,27,34,58,36,41,67,5,70,43,58,26,2
59,23,10,13,25,53,32,12,13,16,12,28,16
60,48,64,9,56,14P,26,15,21,70,14P,31,31
61,12,7,29,51,37,53,39,29,39,38,53,13
62,70,46,63,61,43,34,34,2,5,5,01P,42
63,39,25,37,4,4,51,16,39,25,28,25,37
64,21,3,5,24,21,2,9,18,31,56,34,5
65,7,54,23,29,51,54,6,51,38,44,23,12
66,26,43,24,46,63,14,62,56,64,66,11,11
67,53,39,38,19,49,10,33,44,32,53,19,28
68,35,62,15P,67,58,17,24,52,36,9,63,64
69,49,19,7,33,16,6,13,16,23,32,4,6
70,41,56,36,17,11,31,11,61,34,36,36,41
71,6,4,33,39,32,25,37,33,6,4,13,53
72,17,14,61,9,3,66,65,26,60,55,56,48
73,13,33,28,28,19,19,29,4,44,51,44,29
74,62,36,56,42,34,46,58,24,11,17,8,50
75,51,37,6,49,7,33,7,32,29,16,12,38
76,24,2,52,26,56,11,48,64,24,34,2,21
77,10,16,16,44,23,29,38,23,37,49,32,49
78,64,65,35,2,36,56,68,46,41,62,24,9
79,4,51,10,13,33,49,51,37,33,13,37,4
80,46,52,21,70,64,65,41,48,67,52,62,36
81,44,49,4,32,25,44,44,10,54,39,54,19
82,42,5,34,58,52,43,34,57,56,58,26,57
83,37,32,49,16,39,4,32,49,51,7,33,32
84,58,59,46,48,48,24,47,2,52,22,52,46
85,54,53,39,7,28,39,25,12,28,29,23,10
86,5,31,2,60,8,55,56,36,1,56,40,2
87,25,25,54,25,54,12,49,53,38,10,28,54
88,48,58,11,11,21,9,52,63,43,26,46,63
89,28,38,23,19,4,54,28,6,53,37,4,25
90,18,63,65,31,26,48,3,31,26,64,36,52
91,16,39,7,6,38,37,33,38,19,44,53,39
92,41,48,41,59,57,61,21,58,27,2,64,26
93,33,12,12,37,12,7,10,25,7,19,38,12
94,26,21,58,34,9,17,43,65,36,46,56,60
95,12,28,53,12,32,51,13,28,13,23,13,13
96,69,57,3,41,31,26,26,11,11,36,41,11
97,7,33,51,54,49,13,7,19,39,6,7,6
98,21,9,31,64,68,22,66,5,62,18,22,31
99,32,19,28,10,37,53,54,39,4,12,49,38
100,52,36,26,17,5,41,58,60,31,21,11,66
